priority_rank,priority_score,school,focus_track,focus_rows,missing_total,max_missing_in_row,rows_with_note_in_name,rows_not_marked_latest,sample_to_verify,official_guide_link,suggested_action
1,126,東京都立大学,mixed,18,40,3,0,0,東京都立大学システムディザイン学部 -> 具体学部PDF | EJU必要科目 | 第二次选考/校内考/面试 内容 || 東京都立大学理学部 -> 具体学部PDF | EJU必要科目 | 第二次选考/校内考/面试 内容 || 東京都立大学都市環境学部 -> 具体学部PDF | EJU必要科目 | 第二次选考/校内考/面试 内容,https://www.tmu.ac.jp/entrance/faculty/application_guideline.html,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
2,114,福岡大学,mixed,17,34,6,0,0,福岡大学 -> 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 医学科 -> 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 医学部 -> EJU必要科目 | 出愿开始日期 | 出愿结束日期,https://www.kokusai.fukuoka-u.ac.jp/inbound/undergraduate/undergraduate_admission/exam/,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
3,108,熊本大学,mixed,7,32,6,0,0,熊本大学 -> 具体学部PDF | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 熊本大学共創学環 -> EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 熊本大学情報融合学環 -> EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,https://www.kumamoto-u.ac.jp/nyuushi/gakubunyushi/gakuseibosyuyoukoutou#shihi,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
4,91,順天堂大学,mixed,9,25,7,1,0,順天堂大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 保健医療学部 -> EJU必要科目 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 保健看護学部 -> EJU必要科目 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,https://www.juntendo.ac.jp/admission/exam/nyushi/med/exam_info/boshu_youkou.html,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
5,85,金沢大学,mixed,18,25,5,0,0,金沢大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 第二次选考/校内考/面试 内容 || 金沢大学医薬保健学域 -> EJU必要科目 | 第二次选考/校内考/面试 内容 || 金沢大学理工学域 -> EJU必要科目 | 第二次选考/校内考/面试 内容,https://www.kanazawa-u.ac.jp/admission/boshuyoko,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
6,83,摂南大学,mixed,15,23,7,0,0,摂南大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 理工学部 -> EJU必要科目 | 第二次选考/校内考/面试 内容 || 農学部 -> EJU必要科目 | 第二次选考/校内考/面试 内容,https://www.setsunan.ac.jp/admission/faculty/requirements/,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
7,80,新潟大学,mixed,6,22,7,0,0,新潟大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 医学部 -> 是否招收留学生 | EJU必要科目 | 第二次选考/校内考/面试 内容 || 工学部 -> 是否招收留学生 | EJU必要科目 | 第二次选考/校内考/面试 内容,https://www.niigata-u.ac.jp/admissions/faculty/other/foreign-students/,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
8,78,千葉大学,mixed,13,22,6,0,0,千葉大学 -> 具体学部PDF | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 千葉大学薬学部 -> EJU必要科目 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 千葉大学理学部 -> EJU必要科目 | 第二次选考/校内考/面试 内容,https://www.chiba-u.ac.jp/admissions/gakubu/annai_boshu.html,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
9,75,東京農工大学,mixed,14,21,6,0,0,東京農工大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 東京農工大学工学部 -> EJU必要科目 | 第二次选考/校内考/面试 内容 || 東京農工大学農学部 -> EJU必要科目 | 第二次选考/校内考/面试 内容,https://www.tuat.ac.jp/admission/nyushi_gakubu/youkou/,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
10,68,大阪公立大学,mixed,11,18,7,0,0,大阪公立大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 大阪公立大学理学部 -> EJU必要科目 | 第二次选考/校内考/面试 内容 || 大阪公立大学商学部 -> 第二次选考/校内考/面试 内容,https://www.omu.ac.jp/admissions/ug/exam_info/special/foreigner/,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
11,66,京都産業大学,mixed,10,18,6,0,0,京都産業大学 -> 具体学部PDF | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 京都産業大学情報理工学部 -> EJU必要科目 | 第二次选考/校内考/面试 内容 || 京都産業大学理学部 -> EJU必要科目 | 第二次选考/校内考/面试 内容,https://www.kyoto-su.ac.jp/admissions/exam/apply/download/,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
12,63,岡山大学,mixed,12,17,6,0,0,岡山大学 -> 具体学部PDF | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 岡山大学农学部グローバル入試 -> 第二次选考/校内考/面试 内容 || 岡山大学医学部保健学科 -> 第二次选考/校内考/面试 内容,https://www.okayama-u.ac.jp/tp/admission/kikokushihibosyuyoko.html,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
13,62,鹿児島大学,mixed,15,18,4,0,0,鹿児島大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 第二次选考/校内考/面试 内容 || 保健学科 -> 第二次选考/校内考/面试 内容 || 医学科 -> 第二次选考/校内考/面试 内容,https://www.kagoshima-u.ac.jp/exam/youkou.html,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
14,60,神奈川大学,mixed,8,15,7,0,1,神奈川大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 建築学部 -> 是否招收留学生 | EJU必要科目 || 化学生命学部 -> 是否招收留学生,https://www.kanagawa-u.ac.jp/admissions/faculty/foreignstudent/,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
15,57,静岡大学,mixed,10,15,6,0,0,静岡大学 -> 具体学部PDF | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 静岡大学グローバル共創科学部 -> 第二次选考/校内考/面试 内容 || 静岡大学工学部 -> 第二次选考/校内考/面试 内容,https://www.shizuoka.ac.jp/nyushi/guide/boshu/,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
16,56,岐阜大学,mixed,5,14,6,1,0,岐阜大学 -> 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 岐阜大学医学科医学科 -> 是否需要英语成绩 | 第二次选考/校内考/面试 内容 || 岐阜大学地域科学部 -> 是否需要英语成绩 | 第二次选考/校内考/面试 内容,https://www.gifu-u.ac.jp/admission/f_applicant/guide.html,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
17,55,長崎大学,mixed,11,15,5,0,0,長崎大学 -> 具体学部PDF | EJU必要科目 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 長崎大学医学部保健学科 -> 第二次选考/校内考/面试 内容 || 長崎大学医学部医学科 -> 第二次选考/校内考/面试 内容,https://www.nagasaki-u.ac.jp/nyugaku/admission/selection/,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
18,54,山形大学,mixed,5,14,6,0,0,山形大学 -> 具体学部PDF | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 山形大学医学部 -> 是否需要英语成绩 | 第二次选考/校内考/面试 内容 || 山形大学工学部昼間コース -> 是否需要英语成绩 | 第二次选考/校内考/面试 内容,https://www.yamagata-u.ac.jp/jp/entrance/faculty/guidelines/r08_5/,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
19,54,広島大学,mixed,9,14,6,0,0,広島大学 -> 具体学部PDF | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 広島大学医学部保健学科 -> 第二次选考/校内考/面试 内容 || 広島大学医学部医学科 -> 第二次选考/校内考/面试 内容,https://www.hiroshima-u.ac.jp/nyushi/yoko_doga/yoko,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
